MethodName,MethodFullName,ReturnType,ErrorType,Message
DefineMethod,"System.Int32 System.Reflection.Emit.TypeBuilder::DefineMethod(System.Reflection.RuntimeModule,System.Int32,System.String,System.Byte[],System.Int32,System.Reflection.MethodAttributes)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Reflection.Emit.TypeBuilder::DefineMethod(System.Reflection.RuntimeModule,System.Int32,System.String,System.Byte[],System.Int32,System.Reflection.MethodAttributes) is non-deterministic [PInvokeImpl Flag Set]"
DefineMethodSpec,"System.Int32 System.Reflection.Emit.TypeBuilder::DefineMethodSpec(System.Reflection.RuntimeModule,System.Int32,System.Byte[],System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Reflection.Emit.TypeBuilder::DefineMethodSpec(System.Reflection.RuntimeModule,System.Int32,System.Byte[],System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
DefineField,"System.Int32 System.Reflection.Emit.TypeBuilder::DefineField(System.Reflection.RuntimeModule,System.Int32,System.String,System.Byte[],System.Int32,System.Reflection.FieldAttributes)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Reflection.Emit.TypeBuilder::DefineField(System.Reflection.RuntimeModule,System.Int32,System.String,System.Byte[],System.Int32,System.Reflection.FieldAttributes) is non-deterministic [PInvokeImpl Flag Set]"
SetMethodIL,"System.Void System.Reflection.Emit.TypeBuilder::SetMethodIL(System.Reflection.RuntimeModule,System.Int32,System.Boolean,System.Byte[],System.Int32,System.Byte[],System.Int32,System.Int32,System.Reflection.Emit.ExceptionHandler[],System.Int32,System.Int32[],System.Int32)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Reflection.Emit.TypeBuilder::SetMethodIL(System.Reflection.RuntimeModule,System.Int32,System.Boolean,System.Byte[],System.Int32,System.Byte[],System.Int32,System.Int32,System.Reflection.Emit.ExceptionHandler[],System.Int32,System.Int32[],System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
DefineCustomAttribute,"System.Void System.Reflection.Emit.TypeBuilder::DefineCustomAttribute(System.Reflection.RuntimeModule,System.Int32,System.Int32,System.Byte[],System.Int32,System.Boolean,System.Boolean)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Reflection.Emit.TypeBuilder::DefineCustomAttribute(System.Reflection.RuntimeModule,System.Int32,System.Int32,System.Byte[],System.Int32,System.Boolean,System.Boolean) is non-deterministic [PInvokeImpl Flag Set]"
DefineProperty,"System.Int32 System.Reflection.Emit.TypeBuilder::DefineProperty(System.Reflection.RuntimeModule,System.Int32,System.String,System.Reflection.PropertyAttributes,System.Byte[],System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Reflection.Emit.TypeBuilder::DefineProperty(System.Reflection.RuntimeModule,System.Int32,System.String,System.Reflection.PropertyAttributes,System.Byte[],System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
DefineEvent,"System.Int32 System.Reflection.Emit.TypeBuilder::DefineEvent(System.Reflection.RuntimeModule,System.Int32,System.String,System.Reflection.EventAttributes,System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Reflection.Emit.TypeBuilder::DefineEvent(System.Reflection.RuntimeModule,System.Int32,System.String,System.Reflection.EventAttributes,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
DefineMethodSemantics,"System.Void System.Reflection.Emit.TypeBuilder::DefineMethodSemantics(System.Reflection.RuntimeModule,System.Int32,System.Reflection.MethodSemanticsAttributes,System.Int32)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Reflection.Emit.TypeBuilder::DefineMethodSemantics(System.Reflection.RuntimeModule,System.Int32,System.Reflection.MethodSemanticsAttributes,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
DefineMethodImpl,"System.Void System.Reflection.Emit.TypeBuilder::DefineMethodImpl(System.Reflection.RuntimeModule,System.Int32,System.Int32,System.Int32)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Reflection.Emit.TypeBuilder::DefineMethodImpl(System.Reflection.RuntimeModule,System.Int32,System.Int32,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
SetMethodImpl,"System.Void System.Reflection.Emit.TypeBuilder::SetMethodImpl(System.Reflection.RuntimeModule,System.Int32,System.Reflection.MethodImplAttributes)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Reflection.Emit.TypeBuilder::SetMethodImpl(System.Reflection.RuntimeModule,System.Int32,System.Reflection.MethodImplAttributes) is non-deterministic [PInvokeImpl Flag Set]"
SetParamInfo,"System.Int32 System.Reflection.Emit.TypeBuilder::SetParamInfo(System.Reflection.RuntimeModule,System.Int32,System.Int32,System.Reflection.ParameterAttributes,System.String)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Reflection.Emit.TypeBuilder::SetParamInfo(System.Reflection.RuntimeModule,System.Int32,System.Int32,System.Reflection.ParameterAttributes,System.String) is non-deterministic [PInvokeImpl Flag Set]"
GetTokenFromSig,"System.Int32 System.Reflection.Emit.TypeBuilder::GetTokenFromSig(System.Reflection.RuntimeModule,System.Byte[],System.Int32)",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Reflection.Emit.TypeBuilder::GetTokenFromSig(System.Reflection.RuntimeModule,System.Byte[],System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
SetFieldLayoutOffset,"System.Void System.Reflection.Emit.TypeBuilder::SetFieldLayoutOffset(System.Reflection.RuntimeModule,System.Int32,System.Int32)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Reflection.Emit.TypeBuilder::SetFieldLayoutOffset(System.Reflection.RuntimeModule,System.Int32,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
SetClassLayout,"System.Void System.Reflection.Emit.TypeBuilder::SetClassLayout(System.Reflection.RuntimeModule,System.Int32,System.Reflection.Emit.PackingSize,System.Int32)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Reflection.Emit.TypeBuilder::SetClassLayout(System.Reflection.RuntimeModule,System.Int32,System.Reflection.Emit.PackingSize,System.Int32) is non-deterministic [PInvokeImpl Flag Set]"
SetConstantValue,"System.Void System.Reflection.Emit.TypeBuilder::SetConstantValue(System.Reflection.RuntimeModule,System.Int32,System.Int32,System.Void*)",System.Void,PInvokeImpl Flag Set,"Use of System.Void System.Reflection.Emit.TypeBuilder::SetConstantValue(System.Reflection.RuntimeModule,System.Int32,System.Int32,System.Void*) is non-deterministic [PInvokeImpl Flag Set]"
DefineType,"System.Int32 System.Reflection.Emit.TypeBuilder::DefineType(System.Reflection.RuntimeModule,System.String,System.Int32,System.Reflection.TypeAttributes,System.Int32,System.Int32[])",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Reflection.Emit.TypeBuilder::DefineType(System.Reflection.RuntimeModule,System.String,System.Int32,System.Reflection.TypeAttributes,System.Int32,System.Int32[]) is non-deterministic [PInvokeImpl Flag Set]"
DefineGenericParam,"System.Int32 System.Reflection.Emit.TypeBuilder::DefineGenericParam(System.Reflection.RuntimeModule,System.String,System.Int32,System.Reflection.GenericParameterAttributes,System.Int32,System.Int32[])",System.Int32,PInvokeImpl Flag Set,"Use of System.Int32 System.Reflection.Emit.TypeBuilder::DefineGenericParam(System.Reflection.RuntimeModule,System.String,System.Int32,System.Reflection.GenericParameterAttributes,System.Int32,System.Int32[]) is non-deterministic [PInvokeImpl Flag Set]"
